index,start_expression,end_expression,result,best_expr,class,iterations,egraph_size,rebuilds,total_time,stop_reason,condition
1,( <= ( max ( / ( - 17 ( % v0 4 ) ) 4 ) ( + ( - ( max ( / ( + ( min ( * v1 2 ) ( + ( % v0 2 ) 5 ) ) ( / v0 2 ) ) 2 ) ( + ( / v0 4 ) v1 ) ) ( + ( / ( - v0 6 ) 4 ) v1 ) ) 2 ) ) 1024 ),1/0,false,"(<= (max (/ (- 17 (""%"" v0 4)) 4) (+ (max (/ (+ (/ v0 2) (min (* v1 2) (+ (""%"" v0 2) 5))) 2) (+ v1 (/ v0 4))) (+ (* (/ (- v0 6) 4) -1) (+ 2 (* v1 -1))))) 1024)",-1,4,51603,0,2.272114675,Time Limit : 0.761869869,
2,( <= ( max ( / ( - 17 ( % v0 4 ) ) 4 ) ( + ( - ( / ( + ( min ( * v1 2 ) ( + ( % v0 2 ) 20 ) ) ( / v0 2 ) ) 2 ) ( + ( / ( - v0 6 ) 4 ) v1 ) ) 2 ) ) 1024 ),1/0,false,"(! (|| (< (""%"" v0 4) -4082) (< (* (min (* v1 2) (+ (""%"" v0 2) 20)) -2) (- (+ -4099 (+ v0 8)) (- (+ (- v0 6) (* 4 v1)) (""%"" (- v0 6) 4))))))",-1,15,76617,0,2.2670645869999997,Time Limit : 0.750555835,
3,( <= ( max ( / ( - 8 ( % ( + ( * v0 161 ) v1 ) 2 ) ) 2 ) ( + ( - ( / ( + ( min ( * v2 2 ) 159 ) ( + ( * v0 161 ) v1 ) ) 2 ) ( + ( / ( - ( + ( * v0 161 ) v1 ) 3 ) 2 ) v2 ) ) 2 ) ) 1024 ),1/0,false,"(<= (max (+ 4 (/ (""%"" (+ (* 161 v0) v1) 2) -2)) (+ (+ (* v2 -1) (/ (+ (* 161 v0) (+ v1 -3)) -2)) (/ (+ (min (* 2 v2) 159) (+ (* 161 v0) (+ v1 4))) 2))) 1024)",-1,14,74989,39,2.263181248,Time Limit : 0.750009464,
4,( <= ( max ( max ( min v0 12 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( / ( - v1 15 ) 16 ) ( - v2 1 ) ) ( / ( - v1 14 ) 16 ) ) ( / ( - v1 13 ) 16 ) ) ( / ( - v1 2 ) 16 ) ) ( / ( - v1 1 ) 16 ) ) ( / ( + v1 1 ) 16 ) ) ( / ( - v3 2 ) 16 ) ) ( / ( - v3 1 ) 16 ) ) ( / ( - v4 2 ) 16 ) ) ( / ( - v4 1 ) 16 ) ) ( / ( - v5 2 ) 16 ) ) ( / ( - v5 1 ) 16 ) ) ( / ( - v6 2 ) 16 ) ) ( / ( - v6 1 ) 16 ) ) 11 ) 1 ) ) 0 ) ( max ( min v0 12 ) 0 ) ),1/0,false,(<= (max (max (min v0 12) (min 12 (min (min (min (min (min (min (min (min (min (min (min (min (min (min v2 (/ (+ v1 1) 16)) (/ (+ v1 2) 16)) (/ (+ v1 3) 16)) (/ (+ v1 14) 16)) (/ (+ v1 15) 16)) (/ (+ v1 17) 16)) (/ (+ 14 v3) 16)) (/ (+ 15 v3) 16)) (/ (+ 14 v4) 16)) (/ (+ 15 v4) 16)) (/ (+ 14 v5) 16)) (/ (+ 15 v5) 16)) (/ (+ 14 v6) 16)) (/ (+ 15 v6) 16)))) 0) (max (min v0 12) 0)),-1,8,74714,2369,3.079433719,Time Limit : 0.753335483,
5,( <= ( max ( max ( min ( / ( + v0 131 ) 144 ) 2 ) ( + ( min ( / ( - ( min ( + ( min ( min ( min ( min ( min ( min ( - ( min ( / ( + ( + v1 v2 ) 25 ) 2 ) v3 ) ( + ( * v4 288 ) v5 ) ) v6 ) ( - ( min ( / ( + ( + v1 v2 ) 29 ) 2 ) v3 ) ( + ( * v4 288 ) v5 ) ) ) ( + v7 13 ) ) v8 ) v9 ) ( + v7 15 ) ) 128 ) v8 ) 140 ) 144 ) 1 ) 1 ) ) 0 ) ( max ( min ( / ( + v0 131 ) 144 ) 2 ) 0 ) ),1/0,false,(<= (max (max (min (/ (+ v0 131) 144) 2) (min 2 (min (/ (+ v8 4) 144) (min (min (/ (min (min (min (+ (min (min (+ v3 132) (/ (+ v1 (+ v2 289)) 2)) (+ (+ v6 132) (+ (* 288 v4) v5))) (+ (* -288 v4) (* v5 -1))) (+ (+ (* -288 v4) (* v5 -1)) (min (/ (+ v1 (+ v2 293)) 2) (+ v3 132)))) (+ v7 145)) (+ v8 132)) 144) (/ (+ v9 132) 144)) (/ (+ v7 147) 144))))) 0) (max (min (/ (+ v0 131) 144) 2) 0)),-1,12,77586,6666,2.338396073,Time Limit : 0.750103091,
6,( <= ( max ( max ( min v0 24 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( / ( - v1 15 ) 16 ) ( - v2 1 ) ) ( / ( - v1 14 ) 16 ) ) ( / ( - v1 13 ) 16 ) ) ( / ( - v1 2 ) 16 ) ) ( / ( - v1 1 ) 16 ) ) ( / ( + v1 1 ) 16 ) ) ( / ( - v3 2 ) 16 ) ) ( / ( - v3 1 ) 16 ) ) ( / ( - v4 2 ) 16 ) ) ( / ( - v4 1 ) 16 ) ) ( / ( - v5 2 ) 16 ) ) ( / ( - v5 1 ) 16 ) ) ( / ( - v6 2 ) 16 ) ) ( / ( - v6 1 ) 16 ) ) 23 ) 1 ) ) 0 ) ( max ( min v0 24 ) 0 ) ),1/0,false,(<= (max (max (min v0 24) (min 24 (min (min (min (min (min (min (min (min (min (min (min (min (min (min v2 (/ (+ v1 1) 16)) (/ (+ v1 2) 16)) (/ (+ v1 3) 16)) (/ (+ v1 14) 16)) (/ (+ v1 15) 16)) (/ (+ v1 17) 16)) (/ (+ 14 v3) 16)) (/ (+ 15 v3) 16)) (/ (+ 14 v4) 16)) (/ (+ 15 v4) 16)) (/ (+ 14 v5) 16)) (/ (+ 15 v5) 16)) (/ (+ 14 v6) 16)) (/ (+ 15 v6) 16)))) 0) (max (min v0 24) 0)),-1,8,79618,2631,3.109511053,Time Limit : 0.750222652,
7,( <= ( max ( max ( min v0 2 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( - ( min ( min ( min v1 v2 ) v3 ) v4 ) 1 ) v2 ) ( / ( - v5 208 ) 192 ) ) ( / ( - v5 207 ) 192 ) ) ( / ( - v5 206 ) 192 ) ) ( / ( - v5 205 ) 192 ) ) ( / ( - v5 191 ) 192 ) ) ( / ( - v5 4 ) 192 ) ) ( / ( - v5 3 ) 192 ) ) ( / ( - v5 2 ) 192 ) ) ( / ( - v5 1 ) 192 ) ) ( / ( - v6 210 ) 192 ) ) ( / ( - v6 209 ) 192 ) ) ( / ( - v6 208 ) 192 ) ) ( / ( - v6 207 ) 192 ) ) ( / ( - v6 206 ) 192 ) ) ( / ( - v6 205 ) 192 ) ) ( / ( - v6 204 ) 192 ) ) ( / ( - v6 203 ) 192 ) ) ( / ( - v6 194 ) 192 ) ) ( / ( - v6 193 ) 192 ) ) ( / ( - v6 191 ) 192 ) ) ( / ( - v6 190 ) 192 ) ) ( / ( - v6 189 ) 192 ) ) ( / ( - v6 4 ) 192 ) ) ( / ( - v6 3 ) 192 ) ) ( / ( - v6 2 ) 192 ) ) ( / ( - v6 1 ) 192 ) ) ( / ( + v6 1 ) 192 ) ) ( / ( + v6 2 ) 192 ) ) ( / ( + v6 3 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 209 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v11 1 ) 192 ) ) ( / ( - v12 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 203 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v13 1 ) 192 ) ) ( / ( - v14 1 ) 192 ) ) ( / ( - v15 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 31 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 178 ) 192 ) ) ( / ( - v16 178 ) 192 ) ) ( / ( - v17 184 ) 192 ) ) ( / ( - v17 182 ) 192 ) ) ( / ( - v17 178 ) 192 ) ) ( / ( - v18 184 ) 192 ) ) ( / ( - v18 182 ) 192 ) ) ( / ( - v19 178 ) 192 ) ) ( / ( - v20 182 ) 192 ) ) ( / ( - v20 178 ) 192 ) ) ( / ( - v21 182 ) 192 ) ) ( / ( - v22 2 ) 192 ) ) ( / ( - v22 1 ) 192 ) ) ( / ( - v23 2 ) 192 ) ) ( / ( - v23 1 ) 192 ) ) ( / ( - v24 4 ) 192 ) ) ( / ( - v24 2 ) 192 ) ) ( / ( - v24 1 ) 192 ) ) ( / ( - v25 4 ) 192 ) ) ( / ( - v25 2 ) 192 ) ) ( / ( - v25 1 ) 192 ) ) 1 ) 1 ) ) 0 ) ( max ( min v0 2 ) 0 ) ),1/0,false,"(<= (max (max (min v0 2) (min 2 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (/ (+ 3 v6) 192) (min (/ (+ 2 v6) 192) (min (/ (+ 1 v6) 192) (min (/ (+ v6 -1) 192) (min (/ (+ v6 -2) 192) (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min v4 (min (min v1 v2) v3)) (+ v2 1)) (/ (+ v5 -16) 192)) (/ (+ v5 -15) 192)) (/ (+ v5 -14) 192)) (/ (+ v5 -13) 192)) (/ (+ 1 v5) 192)) (/ (+ v5 188) 192)) (/ (+ v5 189) 192)) (/ (+ v5 190) 192)) (/ (+ v5 191) 192)) (/ (+ v6 -18) 192)) (/ (+ v6 -17) 192)) (/ (+ v6 -16) 192)) (/ (+ v6 -15) 192)) (/ (+ v6 -14) 192)) (/ (+ v6 -13) 192)) (/ (+ v6 -12) 192)) (/ (+ v6 -11) 192))))))) (/ (+ v6 188) 192)) (/ (+ v6 189) 192)) (/ (+ v6 190) 192)) (/ (+ 191 v6) 192)) (/ (+ v6 193) 192)) (/ (+ v6 194) 192)) (/ (+ v6 195) 192)) (/ (+ (- (- (+ v7 v8) 209) (""%"" (- (+ v7 v8) 209) 2)) (+ 191 (+ (* -384 v9) (* v10 -1)))) 192)) (/ (+ 191 v11) 192)) (/ (+ 191 v12) 192)) (/ (+ (- (+ v7 (+ v8 -203)) (""%"" (+ v7 (+ v8 -203)) 2)) (+ 191 (+ (* -384 v9) (* v10 -1)))) 192)) (/ (+ 191 v13) 192)) (/ (+ 191 v14) 192)) (/ (+ 191 v15) 192)) (/ (+ (- (+ v7 (+ v8 -31)) (""%"" (+ v7 (+ v8 -31)) 2)) (+ (+ (* -384 v9) (* v10 -1)) 14)) 192)) (/ (+ v16 14) 192)) (/ (+ v17 8) 192)) (/ (+ v17 10) 192)) (/ (+ v17 14) 192)) (/ (+ v18 8) 192)) (/ (+ v18 10) 192)) (/ (+ v19 14) 192)) (/ (+ v20 10) 192)) (/ (+ v20 14) 192)) (/ (+ v21 10) 192)) (/ (+ 190 v22) 192)) (/ (+ 191 v22) 192)) (/ (+ 190 v23) 192)) (/ (+ 191 v23) 192)) (/ (+ v24 188) 192)) (/ (+ 190 v24) 192)) (/ (+ 191 v24) 192)) (/ (+ v25 188) 192)) (/ (+ 190 v25) 192)) (/ (+ 191 v25) 192)))) 0) (max (min v0 2) 0))",-1,6,136646,1077,3.098929376,Time Limit : 0.75245174,
8,( <= ( max ( max ( min v0 2 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( - ( min ( min ( min v1 v2 ) v3 ) v4 ) 1 ) v2 ) ( / ( - v5 191 ) 192 ) ) ( / ( - v5 2 ) 192 ) ) ( / ( - v5 1 ) 192 ) ) ( / ( - v6 210 ) 192 ) ) ( / ( - v6 209 ) 192 ) ) ( / ( - v6 208 ) 192 ) ) ( / ( - v6 207 ) 192 ) ) ( / ( - v6 206 ) 192 ) ) ( / ( - v6 205 ) 192 ) ) ( / ( - v6 204 ) 192 ) ) ( / ( - v6 203 ) 192 ) ) ( / ( - v6 194 ) 192 ) ) ( / ( - v6 193 ) 192 ) ) ( / ( - v6 191 ) 192 ) ) ( / ( - v6 190 ) 192 ) ) ( / ( - v6 189 ) 192 ) ) ( / ( - v6 4 ) 192 ) ) ( / ( - v6 3 ) 192 ) ) ( / ( - v6 2 ) 192 ) ) ( / ( - v6 1 ) 192 ) ) ( / ( + v6 1 ) 192 ) ) ( / ( + v6 2 ) 192 ) ) ( / ( + v6 3 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 209 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v11 1 ) 192 ) ) ( / ( - v12 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 203 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 1 ) 192 ) ) ( / ( - v13 1 ) 192 ) ) ( / ( - v14 1 ) 192 ) ) ( / ( - v15 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v7 v8 ) 31 ) 2 ) 2 ) ( + ( * v9 384 ) v10 ) ) 178 ) 192 ) ) ( / ( - v16 178 ) 192 ) ) ( / ( - v17 184 ) 192 ) ) ( / ( - v17 182 ) 192 ) ) ( / ( - v17 178 ) 192 ) ) ( / ( - v18 184 ) 192 ) ) ( / ( - v18 182 ) 192 ) ) ( / ( - v19 178 ) 192 ) ) ( / ( - v20 182 ) 192 ) ) ( / ( - v20 178 ) 192 ) ) ( / ( - v21 182 ) 192 ) ) ( / ( - v22 2 ) 192 ) ) ( / ( - v22 1 ) 192 ) ) ( / ( - v23 2 ) 192 ) ) ( / ( - v23 1 ) 192 ) ) ( / ( - v24 4 ) 192 ) ) ( / ( - v24 2 ) 192 ) ) ( / ( - v24 1 ) 192 ) ) ( / ( - v25 4 ) 192 ) ) ( / ( - v25 2 ) 192 ) ) ( / ( - v25 1 ) 192 ) ) 1 ) 1 ) ) 0 ) ( max ( min v0 2 ) 0 ) ),1/0,false,"(<= (max (max (min v0 2) (min 2 (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (min (/ (+ v6 3) 192) (min (/ (+ 2 v6) 192) (min (/ (+ 1 v6) 192) (min (/ (+ v6 -1) 192) (min (/ (+ v6 -2) 192) (min (min (min (min (min (min (min (min (min (min (min (min (min (min v3 (min v1 v2)) v4) (+ v2 1)) (/ (+ 1 v5) 192)) (/ (+ v5 190) 192)) (/ (+ v5 191) 192)) (/ (+ v6 -18) 192)) (/ (+ v6 -17) 192)) (/ (+ v6 -16) 192)) (/ (+ v6 -15) 192)) (/ (+ v6 -14) 192)) (/ (+ v6 -13) 192)) (/ (+ v6 -12) 192)) (/ (+ v6 -11) 192))))))) (/ (+ v6 188) 192)) (/ (+ v6 189) 192)) (/ (+ v6 190) 192)) (/ (+ 191 v6) 192)) (/ (+ v6 193) 192)) (/ (+ v6 194) 192)) (/ (+ v6 195) 192)) (/ (+ (- (- (+ v7 v8) 209) (""%"" (- (+ v7 v8) 209) 2)) (+ 191 (+ (* -384 v9) (* v10 -1)))) 192)) (/ (+ 191 v11) 192)) (/ (+ 191 v12) 192)) (/ (+ (- (+ (+ v7 v8) -203) (""%"" (+ (+ v7 v8) -203) 2)) (+ 191 (+ (* -384 v9) (* v10 -1)))) 192)) (/ (+ 191 v13) 192)) (/ (+ 191 v14) 192)) (/ (+ 191 v15) 192)) (/ (+ (- (+ (+ v7 v8) -31) (""%"" (+ (+ v7 v8) -31) 2)) (+ (+ (* -384 v9) (* v10 -1)) 14)) 192)) (/ (+ v16 14) 192)) (/ (+ v17 8) 192)) (/ (+ v17 10) 192)) (/ (+ v17 14) 192)) (/ (+ v18 8) 192)) (/ (+ v18 10) 192)) (/ (+ v19 14) 192)) (/ (+ v20 10) 192)) (/ (+ v20 14) 192)) (/ (+ v21 10) 192)) (/ (+ 190 v22) 192)) (/ (+ 191 v22) 192)) (/ (+ 190 v23) 192)) (/ (+ 191 v23) 192)) (/ (+ v24 188) 192)) (/ (+ 190 v24) 192)) (/ (+ 191 v24) 192)) (/ (+ v25 188) 192)) (/ (+ 190 v25) 192)) (/ (+ 191 v25) 192)))) 0) (max (min v0 2) 0))",-1,6,168186,1077,3.0228942870000006,Time Limit : 0.751926802,
9,( <= ( max ( max ( min v0 2 ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min ( - ( min v1 v2 ) 1 ) v2 ) ( / ( - v3 191 ) 192 ) ) ( / ( - v3 2 ) 192 ) ) ( / ( - v3 1 ) 192 ) ) ( / ( - v4 194 ) 192 ) ) ( / ( - v4 193 ) 192 ) ) ( / ( - v4 191 ) 192 ) ) ( / ( - v4 190 ) 192 ) ) ( / ( - v4 189 ) 192 ) ) ( / ( - v4 2 ) 192 ) ) ( / ( - v4 1 ) 192 ) ) ( / ( + v4 1 ) 192 ) ) ( / ( + v4 2 ) 192 ) ) ( / ( + v4 3 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 193 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 1 ) 192 ) ) ( / ( - v9 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 189 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 1 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 15 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 178 ) 192 ) ) ( / ( - v10 182 ) 192 ) ) ( / ( - v10 178 ) 192 ) ) ( / ( - ( - ( * ( / ( - ( + v5 v6 ) 11 ) 2 ) 2 ) ( + ( * v7 384 ) v8 ) ) 182 ) 192 ) ) ( / ( - v11 2 ) 192 ) ) ( / ( - v11 1 ) 192 ) ) ( / ( - v12 2 ) 192 ) ) ( / ( - v12 1 ) 192 ) ) ( / ( - v13 2 ) 192 ) ) ( / ( - v13 1 ) 192 ) ) 1 ) 1 ) ) 0 ) ( max ( min v0 2 ) 0 ) ),1/0,false,"(<= (max (max (min v0 2) (min (min (min (min (min (min (min (min (min (min v2 v1) (/ (+ 1 v3) 192)) (/ (min (+ v3 190) (+ v3 191)) 192)) (min (/ (+ v4 -2) 192) (min (/ (+ v4 -1) 192) (/ (+ 1 v4) 192)))) (/ (min (min (+ 2 v4) (+ v4 3)) (min (+ v4 190) (+ 191 v4))) 192)) (/ (min (min (+ v4 193) (+ v4 194)) (+ v4 195)) 192)) (/ (min (+ (- (+ (+ v5 v6) -193) (""%"" (+ (+ v5 v6) -193) 2)) (+ 191 (+ (* -384 v7) (* v8 -1)))) (+ 191 v9)) 192)) (min (/ (min (+ (* 2 (/ (+ v5 (+ v6 -189)) 2)) (+ 191 (+ (* -384 v7) (* v8 -1)))) (+ (- (+ (+ v5 v6) -15) (""%"" (+ (+ v5 v6) -15) 2)) (+ (+ (* -384 v7) (* v8 -1)) 14))) 192) (/ (min (+ v10 10) (+ v10 14)) 192))) (/ (min (min (+ (* -2 (/ (+ v5 (+ v6 -11)) -2)) (+ (+ (* -384 v7) (* v8 -1)) 10)) (+ 190 v11)) (min (+ 191 v11) (+ 190 v12))) 192)) (min (/ (min (+ 191 v12) (+ 190 v13)) 192) (min (/ (+ 191 v13) 192) 2)))) 0) (max (min v0 2) 0))",-1,9,82148,1778,3.2907320619999996,Time Limit : 0.750325754,
10,( <= ( max ( min ( - ( + v0 v1 ) 1 ) v2 ) v1 ) ( max ( min ( + v0 v1 ) v2 ) ( + v1 1 ) ) ),1/0,false,(<= (min (- (+ v0 v1) 1) v2) (max (min (+ v0 v1) v2) (+ v1 1))),-1,3,56732,215,2.487858402,Time Limit : 0.978381916,
11,( <= ( max ( / ( - v0 1 ) 2 ) ( + ( / ( - v0 3 ) 2 ) ( * ( % ( + v0 1 ) 2 ) 2 ) ) ) ( / ( + v0 1 ) 2 ) ),1/0,false,"(<= (max (/ (+ -1 v0) 2) (+ (/ (+ -3 v0) 2) (* 2 (""%"" (+ -3 v0) 2)))) (/ (+ 1 v0) 2))",-1,16,48819,3306,2.280195164,Time Limit : 0.770234942,
12,( <= ( max ( / ( - ( + ( + ( * v0 161 ) v1 ) v2 ) 1 ) 2 ) ( + ( / ( - ( + ( + ( * v0 161 ) v1 ) v2 ) 3 ) 2 ) ( * ( % ( + ( + ( + ( * v0 161 ) v1 ) v2 ) 1 ) 2 ) 2 ) ) ) ( / ( + ( + ( + ( * v0 161 ) v1 ) v2 ) 1 ) 2 ) ),1/0,false,"(<= (max (/ (+ (* 161 v0) (+ v1 (+ v2 -1))) 2) (+ (/ (+ (* 161 v0) (+ v1 (+ v2 -3))) 2) (* 2 (""%"" (+ (* 161 v0) (+ v1 (+ v2 -1))) 2)))) (/ (+ (* 161 v0) (+ v1 (+ v2 1))) 2))",-1,15,69833,1693,2.2613063110000002,Time Limit : 0.751131055,
13,( <= ( + ( max ( / v0 2 ) -2 ) 1 ) ( max ( / ( + v0 3 ) 2 ) 0 ) ),1/0,false,(<= (+ 1 (max (/ v0 2) -2)) (max (/ (+ 3 v0) 2) 0)),-1,1,96642,0,3.3155501880000005,Time Limit : 1.045802801,
14,( <= ( max ( / ( - ( + ( + ( * v0 41 ) v1 ) v2 ) 1 ) 2 ) ( + ( / ( - ( + ( + ( * v0 41 ) v1 ) v2 ) 3 ) 2 ) ( * ( % ( + ( + ( + ( * v0 41 ) v1 ) v2 ) 1 ) 2 ) 2 ) ) ) ( / ( + ( + ( + ( * v0 41 ) v1 ) v2 ) 1 ) 2 ) ),1/0,false,"(<= (max (/ (+ (* 41 v0) (+ v1 (+ v2 -1))) 2) (+ (/ (+ (* 41 v0) (+ v1 (+ v2 -3))) 2) (* 2 (""%"" (+ (* 41 v0) (+ v1 (+ v2 -1))) 2)))) (/ (+ (* 41 v0) (+ v1 (+ v2 1))) 2))",-1,15,69833,1693,2.2646911650000003,Time Limit : 0.75186006,
15,( <= ( max ( / ( - ( + ( + ( * v0 81 ) v1 ) v2 ) 1 ) 2 ) ( + ( / ( - ( + ( + ( * v0 81 ) v1 ) v2 ) 3 ) 2 ) ( * ( % ( + ( + ( + ( * v0 81 ) v1 ) v2 ) 1 ) 2 ) 2 ) ) ) ( / ( + ( + ( + ( * v0 81 ) v1 ) v2 ) 1 ) 2 ) ),1/0,false,"(<= (max (/ (+ (* 81 v0) (+ v1 (+ v2 -1))) 2) (+ (/ (+ (* 81 v0) (+ v1 (+ v2 -3))) 2) (* 2 (""%"" (+ (* 81 v0) (+ v1 (+ v2 -1))) 2)))) (/ (+ (* 81 v0) (+ v1 (+ v2 1))) 2))",-1,14,69833,1693,2.2611395740000004,Time Limit : 0.750017997,
16,( <= ( max ( / ( - v0 v1 ) 2 ) -1 ) ( max ( / ( + ( - v0 v1 ) 1 ) 2 ) 0 ) ),1/0,false,(<= (max (/ (- v0 v1) 2) -1) (max (/ (- (+ 1 v0) v1) 2) 0)),-1,11,71021,194,2.3041959189999996,Time Limit : 0.777319076,
17,( <= ( min ( min ( min ( min ( + ( - v0 ( + ( * v1 144 ) v2 ) ) 2 ) v3 ) ( + v3 1 ) ) ( + ( min ( min ( min ( min ( min ( min ( min ( min ( min ( min v4 v5 ) v6 ) v7 ) v8 ) v9 ) v10 ) v11 ) v12 ) ( - ( / ( - ( + v13 v14 ) 55 ) 4 ) ( + ( * v1 144 ) v2 ) ) ) ( - ( / ( - ( + v13 v14 ) 54 ) 4 ) ( + ( * v1 144 ) v2 ) ) ) 16 ) ) ( + v15 17 ) ) 12 ),1/0,false,(<= (min (min (min (min (- (+ v0 2) (+ (* v1 144) v2)) v3) (+ v3 1)) (+ (min (min (min (min (min (min (min (min (min (min v4 v5) v6) v7) v8) v9) v10) v11) v12) (- (/ (+ (+ v13 v14) -55) 4) (+ (* v1 144) v2))) (- (/ (+ v14 (+ v13 -54)) 4) (+ (* v1 144) v2))) 16)) (+ v15 17)) 12),-1,18,54792,48,3.017307048,Time Limit : 0.750762113,
18,( <= ( min ( min ( min ( + ( min ( - v0 ( + ( * v1 144 ) v2 ) ) v3 ) 1 ) v3 ) ( + v3 2 ) ) ( + ( min ( min ( min v4 v5 ) ( - ( / ( - ( + v6 v7 ) 29 ) 2 ) ( + ( * v1 144 ) v2 ) ) ) v8 ) 16 ) ) 14 ),1/0,false,(<= (min (min (min v3 (min (- (+ v0 1) (+ (* v1 144) v2)) (+ v3 1))) (+ v3 2)) (min (min (+ (min v4 v5) 16) (+ (/ (+ (+ v6 v7) -29) 2) (- 16 (+ (* v1 144) v2)))) (+ v8 16))) 14),-1,17,48347,15,3.0109961169999995,Time Limit : 0.750706429,
19,( <= ( / ( - ( min ( + ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ( * ( / ( - v2 1 ) 8 ) 8 ) ) ( - v3 8 ) ) 15 ) 2 ) ( + ( / v4 2 ) ( * ( / ( + ( - ( / ( + ( min ( + ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ( * ( / ( + v2 7 ) 8 ) 8 ) ) v3 ) 1 ) 2 ) ( / v4 2 ) ) 1 ) 14 ) 14 ) ) ),1/0,false,(<= (/ (+ (min (+ (* (/ (- v2 1) 8) 4) (/ (/ (+ (min v0 101) (+ v1 -643)) 32) 2)) (/ (+ v3 -23) 2)) (+ 13 (/ v4 -2))) 14) (/ (+ (min (+ (* (/ (+ v2 7) 8) 4) (/ (/ (+ (min v0 101) (+ v1 -131)) 32) 2)) (/ (+ 1 v3) 2)) (+ 1 (/ v4 -2))) 14)),-1,13,76150,37,3.015083718,Time Limit : 0.75021366,
20,( <= ( - ( min ( + ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ( * ( / ( - v2 1 ) 8 ) 8 ) ) ( - v3 8 ) ) 18 ) ( + ( * ( / ( - ( - ( min ( + ( / ( - ( + ( min v0 101 ) v1 ) 163 ) 32 ) ( * ( / ( + v2 7 ) 8 ) 8 ) ) v3 ) v4 ) 1 ) 26 ) 26 ) v4 ) ),1/0,false,(<= (/ (+ (min (+ (/ (+ (min v0 101) (- v1 163)) 32) (* 8 (/ (+ v2 -1) 8))) (- v3 8)) (+ 7 (* v4 -1))) 26) (/ (+ (min v3 (+ (/ (+ (min v0 101) (- v1 163)) 32) (* 8 (/ (+ v2 7) 8)))) (+ -1 (* v4 -1))) 26)),-1,9,67346,1,3.0301184159999996,Time Limit : 0.763464237,
